category,user,id,description,verified,created_at,location,favourites,retweets,entities
neg,KS84759909,1379087449389891590,วันนี้เราต้องมานั่งเเก้งานเพื่อให้เสร็จกลับบ้านตอนประมาณ5โมงเเต่วันนี้คนอื่นกลับประมาณ3โมงครึ่งเพราะวันนี้มีสอบเเต่เราก็ไม่เข้าใจว่าทำมต้องเรียบร้อยขนาดนั้นที่เราทำมาเขาบอกว่าเนื้อหาน้อยไปให้ไปเเก้ไข เดี๋ยวเล่าต่อในคอมเม้น  #การศึกษาไทย #โรงเรียนสี่เเยก https://t.co/iLLPnCvntj,False,2021-04-05 15:04:04,,15,3,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [224, 236]}, {'text': 'โรงเรียนสี่เเยก', 'indices': [237, 253]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1379087402896027654, 'id_str': '1379087402896027654', 'indices': [254, 277], 'media_url': 'http://pbs.twimg.com/media/EyOAr6vVcAY31DN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyOAr6vVcAY31DN.jpg', 'url': 'https://t.co/iLLPnCvntj', 'display_url': 'pic.twitter.com/iLLPnCvntj', 'expanded_url': 'https://twitter.com/KS84759909/status/1379087449389891590/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}}}]}"
neg,kokakub,1379043660629561346,"มันมีอยู่จริงๆนะเว้ยที่ได้เกรดเเย่เพราะคุณครูไม่ชอบหน้าเรา ทั้งๆที่ส่งงาน  ครบเเละส่งคนเเรกๆตลอด เข้าเรียนตลอด มั่นใจด้วยว่าสอบได้ มั่นใจจริงๆ
เเล้วเกรดออกมา 1.5 2.5 ไรงี้ บ้าบอ
เจอมากับตัวเลยครูเเบบนี้
#การศึกษาฆ่าฉัน  #โรคซึมเศร้า",False,2021-04-05 12:10:04,,0,4,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [203, 218]}, {'text': 'โรคซึมเศร้า', 'indices': [220, 232]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neu,kokakub,1379040857987325957,"ผู้ใหญ่บางคนเขาก็โตเเต่ตัวจริงๆนะ
เขาไม่ได้โตตามอายุเลย
กลับกันนั้น..เด็กบางคนอายุน้อยกว่าเป็นสิบๆปี เเต่ดูโตกว่ามากๆ 
#โรคซึมเศร้า #การศึกษาฆ่าฉัน  
#alone",False,2021-04-05 11:58:56,,0,2,"{'hashtags': [{'text': 'โรคซึมเศร้า', 'indices': [119, 131]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [132, 147]}, {'text': 'alone', 'indices': [150, 156]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,K6PdhKfBGRNNQkK,1379039178986418180,"#การศึกษาฆ่าฉัน
เกรดเเต่ละวิชากว่าจะได้มันมามันยากนะคะ​ หนูก็พยายามเท่าที่เด็กคนนึงจะทำได้เเล้ว​ เลิกเอาเกรดมาวัดเด็กว่าเก่งหรือไม่เก่ง​เพราะเกรด จะได้ไหมคะ",False,2021-04-05 11:52:16,,121,2,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
pos,theactive_net,1379033897091014659,"กสศ.โชว์ผลงาน “ทุนนวัตกรรมสายอาชีพชั้นสูง” หลังนักศึกษาจบ ปวส. รุ่นแรก 1,106 คน 67% เกรดเฉลี่ย 3.00 ตอกย้ำ “โอกาสทางการศึกษา” เครื่องมือลดความเหลื่อมล้ำ พาครอบครัวหลุดพ้นความยากจน #เด็กยากจน #การศึกษา #TheActive
อ่านเพิ่มเติม : https://t.co/QA6CtuQ4zV
https://t.co/rgnSx5gmmh",False,2021-04-05 11:31:16,"หลักสี่, กรุงเทพมหานคร",292,2,"{'hashtags': [{'text': 'เด็กยากจน', 'indices': [180, 190]}, {'text': 'การศึกษา', 'indices': [191, 200]}, {'text': 'TheActive', 'indices': [201, 211]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QA6CtuQ4zV', 'expanded_url': 'https://theactive.net/news/20210405-5/', 'display_url': 'theactive.net/news/20210405-…', 'indices': [228, 251]}, {'url': 'https://t.co/rgnSx5gmmh', 'expanded_url': 'https://www.facebook.com/theactive.net/posts/4069579453073384', 'display_url': 'facebook.com/theactive.net/…', 'indices': [252, 275]}]}"
neg,09snampe,1379026277479313417,เราขอระบายหน่อยค่ะ เราลงเลือกตั้งสภานักเรียนแล้วได้เป็นเราบอกว่าบ๊ายบายเพียงแค่นี้ มีครูท่านนึงเขาบอกว่าเราพูดไม่เหมาะสมแล้วบอกว่าตั้งชื่อพรรคอะไรก็ไม่รู้กับน้องห้องอื่นค่ะ ดูถูกและบูลลี่สุดๆ บอกให้เลือกพรรคอื่นที่มันดีกว่านี้หน่อยกับน้องๆดูอคติกับเรามากเลย #การศึกษาไทยฆ่าฉัน,False,2021-04-05 11:01:00,,5,0,"{'hashtags': [{'text': 'การศึกษาไทยฆ่าฉัน', 'indices': [258, 276]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,vwng140147,1379013229494464512,"ความพยายามของลูกสาวคนนี้ไม่มีค่าอะไรเลยหรอ
#การศึกษาฆ่าฉัน #โรคซึมเศร้า https://t.co/ffIJCrGLCQ",False,2021-04-05 10:09:09,,27,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [43, 58]}, {'text': 'โรคซึมเศร้า', 'indices': [59, 71]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1379013220229242888, 'id_str': '1379013220229242888', 'indices': [72, 95], 'media_url': 'http://pbs.twimg.com/media/EyM9N6xU4AguYAZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyM9N6xU4AguYAZ.jpg', 'url': 'https://t.co/ffIJCrGLCQ', 'display_url': 'pic.twitter.com/ffIJCrGLCQ', 'expanded_url': 'https://twitter.com/vwng140147/status/1379013229494464512/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 702, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 702, 'resize': 'fit'}, 'small': {'w': 680, 'h': 663, 'resize': 'fit'}}}]}"
pos,EctMonkey,1379009780656660484,"โรงเรียนไม่จำเป็นต้องสร้างให้เด็กทุกคนเรียนเก่ง แต่ควรสร้างให้เด็กทุกคนเรียนรู้

#การศึกษาไทย",False,2021-04-05 09:55:27,,895,1,"{'hashtags': [{'text': 'การศึกษาไทย', 'indices': [81, 93]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
neg,Ongion407,1379009139704176640,"เรียนจนลืมฝัน U_U
#9วิชาสามัญ64 #ม33เรารักกัน #การศึกษาไทย #การศึกษาฆ่าฉัน #ONET #สอบ https://t.co/xfIIMdCm9h",False,2021-04-05 09:52:54,Bangkok,2,1,"{'hashtags': [{'text': '9วิชาสามัญ64', 'indices': [18, 31]}, {'text': 'ม33เรารักกัน', 'indices': [32, 45]}, {'text': 'การศึกษาไทย', 'indices': [46, 58]}, {'text': 'การศึกษาฆ่าฉัน', 'indices': [59, 74]}, {'text': 'ONET', 'indices': [75, 80]}, {'text': 'สอบ', 'indices': [81, 85]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1379009118363521024, 'id_str': '1379009118363521024', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/EyM5fKIVEAA0FTR.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyM5fKIVEAA0FTR.jpg', 'url': 'https://t.co/xfIIMdCm9h', 'display_url': 'pic.twitter.com/xfIIMdCm9h', 'expanded_url': 'https://twitter.com/Ongion407/status/1379009139704176640/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 2048, 'resize': 'fit'}}}]}"
neg,7jz4atJgPikgaIX,1379001941494128643,คุณครูทำงานนร.หายแล้วบอกทำเด็กไม่มีความรับผิดชอบอันนี้นร.ผิดหรอคะ #การศึกษาฆ่าฉัน,False,2021-04-05 09:24:18,,909,0,"{'hashtags': [{'text': 'การศึกษาฆ่าฉัน', 'indices': [66, 81]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
