,description,created_at,text
0,กระแส #เรียนออนไลน์ ยังทำให้ดีมานด์ iPad รุ่นต่ำยังคงสูงอยู่ อย่าว่าแต่หน้าร้านหาของไม่ได้ ขนาดเว็บ Apple Store เอง… https://t.co/ls9zJNvle1,2008-02-02 02:35:10,กระแส ยังทำให้ดีมานด์ iPad รุ่นต่ำยังคงสูงอยู่ อย่าว่าแต่หน้าร้านหาของไม่ได้ ขนาดเว็บ Apple S ore เอง…
1,"ภูมิศาสตร์ กับ ประวัติศาสตร์ 

เป็น ทวีป เหมือนกัน 

ชื่นใจจริงๆครับ 

น่าจะค้น กูเกิล บ้านพี่หน่วง… https://t.co/HmboeL3j0V",2009-01-26 09:32:19,ภูมิศาสตร์ กับ ประวัติศาสตร์ เป็น ทวีป เหมือนกัน ชื่นใจจริงๆครับ น่าจะค้น กูเกิล บ้านพี่หน่วง…
2,10 เคล็ดลับการเรียนออนไลน์อย่างมีประสิทธิภาพ #แรงบันดาลใจ #ไลฟ์สไตล์ #ความสำเร็จ #พัฒนาตัวเอง #LearningFromHome… https://t.co/Pjhhrh6yWE,2009-02-11 12:20:09,10 เคล็ดลับการเรียนออนไลน์อย่างมีประสิทธิภาพ
3,อ่านข่าวนิสิตเครียดจน #ฆ่าตัวตาย เพราะ #เรียนออนไลน์​ พูดตรงๆ ในฐานะคนจบครู การสอนแบบ e-learning และ distance learn… https://t.co/5J48eJrLxa,2009-06-11 04:54:34,อ่านข่าวนิสิตเครียดจน เพราะ พูดตรงๆ ในฐานะคนจบครู การสอนแบบ e learnin  และ dis ance learn…
4,"เปิดเรียนวันแรก กทม.ยังให้เรียนออนไลน์ได้

Youtube : https://t.co/MnStkwrXGV

#เปิดเรียนวันแรก
#โรงเรียน
#นักเรียน… https://t.co/byI6w86k3l",2009-06-16 13:12:40,เปิดเรียนวันแรก กทม ยังให้เรียนออนไลน์ได้ You ube  
5,รมว.ศึกษาธิการ เผย ในพื้นที่เสี่ยง 5 จังหวัดที่จะต้องเปิดเรียนในวันที่ 1 ก.พ.นี้ ชี้ อาจเปิดเรียนเฉพาะเด็กระดับปฐม… https://t.co/l94eRLafPN,2009-08-06 09:23:57,รมว ศึกษาธิการ เผย ในพื้นที่เสี่ยง 5 จังหวัดที่จะต้องเปิดเรียนในวันที่ 1 ก พ นี้ ชี้ อาจเปิดเรียนเฉพาะเด็กระดับปฐม…
6,จบป.ตรีได้จากบ้าน! โลจิสติกส์ สวนสุนันทา ท้าไวรัส จัดหลักสูตรออนไลน์ เรียนได้ทุกที่ ทุกเวลา เปิดรับแล้ววันนี้ &gt;&gt;… https://t.co/zsFiWcssJC,2009-08-06 09:23:57,จบป ตรีได้จากบ้าน  โลจิสติกส์ สวนสุนันทา ท้าไวรัส จัดหลักสูตรออนไลน์ เรียนได้ทุกที่ ทุกเวลา เปิดรับแล้ววันนี้         …
7,"ดี/ไม่ดี คิดว่าไงกัน 

#เรียนออนไลน์ #dek64 #dek65 #dek66 https://t.co/jZabMlDO2E",2009-08-06 09:23:57,ดี ไม่ดี คิดว่าไงกัน
8,เลขาฯ กพฐ.เผยหากผู้ปกครองไม่สบายใจให้บุตรหลานไปเรียน 1 ก.พ.นี้ สามารถเรียนออนไลน์ต่อได้ &gt;&gt; https://t.co/vaTaqxEn0j… https://t.co/U7AgTsGDLR,2009-08-06 09:23:57,เลขาฯ กพฐ เผยหากผู้ปกครองไม่สบายใจให้บุตรหลานไปเรียน 1 ก พ นี้ สามารถเรียนออนไลน์ต่อได้         
9,สวนกุหลาบ-วัดราชบพิธ เซ็นประกาศปิดสถานศึกษา 1-5 ก.พ. ห่วงโควิด ให้เรียนหรือสอบออนไลน์ #เรียนออนไลน์ https://t.co/z5hEs1aowF,2009-08-13 08:18:35,สวนกุหลาบ วัดราชบพิธ เซ็นประกาศปิดสถานศึกษา 1 5 ก พ  ห่วงโควิด ให้เรียนหรือสอบออนไลน์
10,นร.เลว แฉอีก ครู ร.ร.ดังย่านมะขามสูง ปกป้องเด็ก ‘แอบถ่ายใต้กระโปรง’ เหตุเรียนเก่ง ขู่ห้ามบอกต่อ… https://t.co/YuXU3ypalI,2009-08-13 08:18:35,นร เลว แฉอีก ครู ร ร ดังย่านมะขามสูง ปกป้องเด็ก ‘แอบถ่ายใต้กระโปรง’ เหตุเรียนเก่ง ขู่ห้ามบอกต่อ…
11,ดูการศึกษาไทย ให้เด็กป 4 เรียน เรียนไปทำไมอ่ะ นี่คือการบ้าน ไม่ใช่แบบสอนให้รู้รอบตัวขำๆ นี่คือเรียนเพื่อสร้างเสริม… https://t.co/FMjzUbL8K0,2009-08-26 09:11:49,ดูการศึกษาไทย ให้เด็กป 4 เรียน เรียนไปทำไมอ่ะ นี่คือการบ้าน ไม่ใช่แบบสอนให้รู้รอบตัวขำๆ นี่คือเรียนเพื่อสร้างเสริม…
12,"ชวนสังเกตอาการ #CabinFever หรือ #ภาวะเบื่อบ้าน เพราะการอยู่ในที่แคบนานเกินไปส่งผลลบต่ออารมณ์

กำลังเป็นแบบนี้กันอ… https://t.co/1FmZCsaWdY",2009-09-17 08:39:26,ชวนสังเกตอาการ หรือ เพราะการอยู่ในที่แคบนานเกินไปส่งผลลบต่ออารมณ์ กำลังเป็นแบบนี้กันอ…
13,"สมุทรสาคร ยังไม่เปิดเรียน 1 ก.พ. อีก 4 จังหวัดรวม กทม. รอศบค.ประกาศ
https://t.co/3OnyS8LLFl

#เปิดเรียน… https://t.co/cQyz8VCloH",2009-09-22 06:24:28,สมุทรสาคร ยังไม่เปิดเรียน 1 ก พ  อีก 4 จังหวัดรวม กทม  รอศบค ประกาศ
14,TOT ติดตั้งเสาสัญญาณเน็ตให้ น้องวิว นักเรียนใจสู้ นั่งเรียนออนไลน์กลางแดด เจ้าตัวขอบคุณทุกๆ ความช่วยเหลือ สัญญาจะ… https://t.co/ssFCOCdp2Z,2009-11-05 17:07:20,TOT ติดตั้งเสาสัญญาณเน็ตให้ น้องวิว นักเรียนใจสู้ นั่งเรียนออนไลน์กลางแดด เจ้าตัวขอบคุณทุกๆ ความช่วยเหลือ สัญญาจะ…
