,description,created_at
0,กระแส #เรียนออนไลน์ ยังทำให้ดีมานด์ iPad รุ่นต่ำยังคงสูงอยู่ อย่าว่าแต่หน้าร้านหาของไม่ได้ ขนาดเว็บ Apple Store เอง… https://t.co/ls9zJNvle1,2008-02-02 02:35:10
6,"ภูมิศาสตร์ กับ ประวัติศาสตร์ 

เป็น ทวีป เหมือนกัน 

ชื่นใจจริงๆครับ 

น่าจะค้น กูเกิล บ้านพี่หน่วง… https://t.co/HmboeL3j0V",2009-01-26 09:32:19
9,10 เคล็ดลับการเรียนออนไลน์อย่างมีประสิทธิภาพ #แรงบันดาลใจ #ไลฟ์สไตล์ #ความสำเร็จ #พัฒนาตัวเอง #LearningFromHome… https://t.co/Pjhhrh6yWE,2009-02-11 12:20:09
10,อ่านข่าวนิสิตเครียดจน #ฆ่าตัวตาย เพราะ #เรียนออนไลน์​ พูดตรงๆ ในฐานะคนจบครู การสอนแบบ e-learning และ distance learn… https://t.co/5J48eJrLxa,2009-06-11 04:54:34
11,"เปิดเรียนวันแรก กทม.ยังให้เรียนออนไลน์ได้

Youtube : https://t.co/MnStkwrXGV

#เปิดเรียนวันแรก
#โรงเรียน
#นักเรียน… https://t.co/byI6w86k3l",2009-06-16 13:12:40
16,"""ฉายาที่ผมอยากให้รัฐมนตรีท่านนี้เลยนะครับ รัฐมนตรีบาทเดียว""

ปดิพัทธ์ สันติภาดา
สมาชิกสภาผู้แทนราษฎร พรรคก้าวไกล
—… https://t.co/79LEazc7qW",2009-07-20 09:54:13
18,จบป.ตรีได้จากบ้าน! โลจิสติกส์ สวนสุนันทา ท้าไวรัส จัดหลักสูตรออนไลน์ เรียนได้ทุกที่ ทุกเวลา เปิดรับแล้ววันนี้ &gt;&gt;… https://t.co/zsFiWcssJC,2009-08-06 09:23:57
19,"ดี/ไม่ดี คิดว่าไงกัน 

#เรียนออนไลน์ #dek64 #dek65 #dek66 https://t.co/jZabMlDO2E",2009-08-06 09:23:57
20,เลขาฯ กพฐ.เผยหากผู้ปกครองไม่สบายใจให้บุตรหลานไปเรียน 1 ก.พ.นี้ สามารถเรียนออนไลน์ต่อได้ &gt;&gt; https://t.co/vaTaqxEn0j… https://t.co/U7AgTsGDLR,2009-08-06 09:23:57
21,รมว.ศึกษาธิการ เผย ในพื้นที่เสี่ยง 5 จังหวัดที่จะต้องเปิดเรียนในวันที่ 1 ก.พ.นี้ ชี้ อาจเปิดเรียนเฉพาะเด็กระดับปฐม… https://t.co/l94eRLafPN,2009-08-06 09:23:57
23,นร.เลว แฉอีก ครู ร.ร.ดังย่านมะขามสูง ปกป้องเด็ก ‘แอบถ่ายใต้กระโปรง’ เหตุเรียนเก่ง ขู่ห้ามบอกต่อ… https://t.co/YuXU3ypalI,2009-08-13 08:18:35
25,สวนกุหลาบ-วัดราชบพิธ เซ็นประกาศปิดสถานศึกษา 1-5 ก.พ. ห่วงโควิด ให้เรียนหรือสอบออนไลน์ #เรียนออนไลน์ https://t.co/z5hEs1aowF,2009-08-13 08:18:35
26,ดูการศึกษาไทย ให้เด็กป 4 เรียน เรียนไปทำไมอ่ะ นี่คือการบ้าน ไม่ใช่แบบสอนให้รู้รอบตัวขำๆ นี่คือเรียนเพื่อสร้างเสริม… https://t.co/FMjzUbL8K0,2009-08-26 09:11:49
27,"ชวนสังเกตอาการ #CabinFever หรือ #ภาวะเบื่อบ้าน เพราะการอยู่ในที่แคบนานเกินไปส่งผลลบต่ออารมณ์

กำลังเป็นแบบนี้กันอ… https://t.co/1FmZCsaWdY",2009-09-17 08:39:26
28,"สมุทรสาคร ยังไม่เปิดเรียน 1 ก.พ. อีก 4 จังหวัดรวม กทม. รอศบค.ประกาศ
https://t.co/3OnyS8LLFl

#เปิดเรียน… https://t.co/cQyz8VCloH",2009-09-22 06:24:28
29,เรียนทำขนม ที่ abc studio สนใจ dm มาได้่ #เรียนออนไลน์ #ทำขนม #ตลาดนัดiKON #เรียนภาษาเกาหลี #เรียนภาษาญี่ปุ่น… https://t.co/loeAu4sBTN,2009-10-16 05:22:46
30,TOT ติดตั้งเสาสัญญาณเน็ตให้ น้องวิว นักเรียนใจสู้ นั่งเรียนออนไลน์กลางแดด เจ้าตัวขอบคุณทุกๆ ความช่วยเหลือ สัญญาจะ… https://t.co/ssFCOCdp2Z,2009-11-05 17:07:20
31,โพลล์ชี้ประชาชนเชื่อมั่นเรียนออนไลน์ห่างไกลโควิด-19 #ซูเปอร์โพล #โควิด19 #เรียนออนไลน์ #spring https://t.co/ptmCqPZ4sN,2009-11-05 17:07:20
32,ส่าตั้งใจเรียน! เน็ตอ.ก็เน่า เฮ้อ ! หลุดหายไปชาตินึงล่ะ! เสียเวลามาก! #เรียนออนไลน์,2009-11-06 08:26:16
33,#มหาวิทยาลัย #สถาบันการศึกษา #ครู #อาจารย์ #นักวิชาการ อย่างเราๆ ควรปรับหลักสูตร ผลิต #บัณฑิต มา #การศึกษา ไม่ช่วย… https://t.co/pO6Nb7BLYy,2009-11-26 07:57:30
35,โอ๊ยยยยยยยยสมองงงงง #เรียนออนไลน์ https://t.co/KQsljiAqr9,2010-01-20 11:19:37
36,บิดเบี้ยวกันไปหมดละประเทศนี้ สักพักนักข่าว ยูทูปเบอร์ คนใจบุญจะไปกันเต็มบ้านน้อง อารมณ์แบบลุงพลมาเลย #เรียนออนไลน์ https://t.co/wRCStX4P24,2010-03-17 08:09:41
38,เห็นข่าวครูครีเอทการสอนออนไลน์ ยิ้มเบา ๆ กับเทคนิค #เรียนออนไลน์  #มุ้งมิ้งคงไม่ชอบ,2010-05-14 08:48:22
39,ชีวิตต้องเรียนรู้อยู่ตลอด อาจจ่ายค่าเรียนแพง-ถูก บ้างเป็นเรื่องปกติ แต่สิ่งหนึ่งที่ได้คือ เรารู้เพิ่มขึ้นแน่นอน… https://t.co/X5kFN0WSwe,2010-05-18 13:43:20
40,'ซูเปอร์โพล' เผยปชช. ร้อยละ 79.4 พอใจ 'หมอทวีศิลป์' ทำหน้าที่โฆษกศบค. เชื่อเรียนออนไลน์ห่างไกลโควิดฯ มากสุด รองลงมา… https://t.co/MQYWRAQxnq,2010-05-20 06:28:47
42,คอมชั้นเจ๊งละ ทำบ้าไรไม่ได้เลยค่ะ แงงงง แจ้งไปแล้วว่าคอมพัง ทำไมมหาลัยไม่ให้ไอแพดหนูคะ ปัญหาหนูไม่สำคัญพอหรอคะ หนู… https://t.co/fDm7LVAc6W,2010-07-16 13:28:18
43,มึงงงง เค้าบอก มธจะกลับมาเรียนผสมแล้ว!!!!!!! ออนไลน์+ในคลาส อีดอกๆๆๆๆๆ #มธ #เรียนออนไลน์ หลัง1กุมภาจ้ะ!!!!!,2010-07-16 13:28:18
