,text
0,วันนี้เราต้องมานั่งเเก้งานเพื่อให้เสร็จกลับบ้านตอนประมาณ5โมงเเต่วันนี้คนอื่นกลับประมาณ3โมงครึ่งเพราะวันนี้มีสอบเเต่เราก็ไม่เข้าใจว่าทำมต้องเรียบร้อยขนาดนั้นที่เราทำมาเขาบอกว่าเนื้อหาน้อยไปให้ไปเเก้ไข เดี๋ยวเล่าต่อในคอมเม้น
1,มันมีอยู่จริงๆนะเว้ยที่ได้เกรดเเย่เพราะคุณครูไม่ชอบหน้าเรา ทั้งๆที่ส่งงาน ครบเเละส่งคนเเรกๆตลอด เข้าเรียนตลอด มั่นใจด้วยว่าสอบได้ มั่นใจจริงๆ เเล้วเกรดออกมา 1 5 2 5 ไรงี้ บ้าบอ เจอมากับตัวเลยครูเเบบนี้
3,เกรดเเต่ละวิชากว่าจะได้มันมามันยากนะคะ  หนูก็พยายามเท่าที่เด็กคนนึงจะทำได้เเล้ว  เลิกเอาเกรดมาวัดเด็กว่าเก่งหรือไม่เก่ง เพราะเกรด จะได้ไหมคะ
5,เราขอระบายหน่อยค่ะ เราลงเลือกตั้งสภานักเรียนแล้วได้เป็นเราบอกว่าบ๊ายบายเพียงแค่นี้ มีครูท่านนึงเขาบอกว่าเราพูดไม่เหมาะสมแล้วบอกว่าตั้งชื่อพรรคอะไรก็ไม่รู้กับน้องห้องอื่นค่ะ ดูถูกและบูลลี่สุดๆ บอกให้เลือกพรรคอื่นที่มันดีกว่านี้หน่อยกับน้องๆดูอคติกับเรามากเลย
6,ความพยายามของลูกสาวคนนี้ไม่มีค่าอะไรเลยหรอ
8,เรียนจนลืมฝัน U_U
9,คุณครูทำงานนร หายแล้วบอกทำเด็กไม่มีความรับผิดชอบอันนี้นร ผิดหรอคะ
11,คือกูงงโรงเรียนน้องกูยังไม่ปิดเว้ย เเต่อาจารย์เเม่งประกาศบอกเด็กว่า  ใครที่มีผปค อยู่บ้านก็ไม่ต้องมารร นะคะ ส่วนใครที่ไม่มีก็มา  ปลูกฝังอะไรคะ ทีนี้ไม่ว่าจะน้องกู เด็กคนอื่นที่มีผปค ไม่ไปรร จ้า มาพูดเเบบนี้น้องกูก็จำดิเเล้วต่อไปมันก็คงตอบกูด้วยคำพูดของอาจารย์อะหรอ
12,ครูตรวจข้อสอบผิด
13,ก็ไม่เข้าใจนะเสียค่าเทอมเป็น10000 20000 เพื่อมาโดนด่าหรอคะ 
14,เรารู้สึกเเย่มากที่เราขาดทำกิจกรรมเพราะติดสอบเเล้วอาจารย์ประจำสาขาสั่งลงโทษโดยการให้คัดข้อมูล 3 หน้ากระดาษเอสี่ 8 จบ ที่รู้สึกแย่มากตรงที่เรารู้สึกไม่ได้รับความยุติธรรม เหตุไหนการสอบถึงสำคัญน้อยกว่ากิจกรรม
15,เเม่  ทำไมยิ่งเรียนยิ่งโง่ล่ะลูก     ก็นั่นน่ะสิเเม่     เอาจริงๆหนูก็โง่ตั้งนานเเล้วนะ
16,ใช่ๆเป็นครูยังไงอ่านชื่อเด็กไม่ถูกละชอบขู่เด็กให้เด็กกลัว
17,อาจารย์ควรแหกตาดูด้วยนะครับว่าผู้ติดเชื้อมันเพิ่มสูงขึ้น ไม่ใช่คิดแต่จะให้มามหาลัยเพื่อที่จะสอบ ทั้งๆที่วิชาอื่นสอบออนไลน์กันไปหมดแล้ว มึงอยากให้กูติดเชื้อตายมากใช่ไหม ราชภัฏ อันดับ 1
22,อาจารย์ควรแหกตาดูด้วยนะครับว่าผู้ติดเชื้อมันเพิ่มสูงขึ้น ไม่ใช่คิดแต่จะให้มามหาลัยเพื่อที่จะสอบ ทั้งๆที่วิชาอื่นสอบออนไลน์กันไปหมดแล้ว มึงอยากให้กูติดเชื้อตายมากใช่ไหม ราชภัฏ อันดับ 1
